ID,Contractor,Size,Utility,Zip
21055,Energy Concepts Corporation,5.8,MSMEC,87701
21056,Energy Concepts Corporation,10.9,PNM,87048
21057,"Solar Smart Living, LLC",5.2,EPE,88008
21058,Compass Electric Company,7.4,PNM,87048
21059,Morgan's Constructive Solutions,7.9,PNM,87008
21060,SunState Solar Inc./Energized Electric,7.3,PNM,87111
21061,Ocotillo Solar Electric,7.6,PNM,87104
21062,Power Sourcce Services LLC,6.8,PNM,87124
21074,Los Ebanistas/Sol Luna Solar,6.1,PNM,87122
21075,"Solar Smart Living, LLC",9.5,EPE,88021
21076,"Solar Smart Living, LLC",6.0,EPE,88021
21077,"Solar Smart Living, LLC",1.6,EPE,88012
21078,"Solar Smart Living, LLC",7.6,EPE,88021
21079,EverGuard Solar Energy LLC,6.6,PNM,87111
21080,"Solar Smart Living, LLC",9.3,EPE,88021
21081,"Solar Smart Living, LLC",5.5,EPE,88063
21082,SunState Solar Inc./Energized,8.9,PNM,87111
21083,"Solar Smart Living, LLC",3.4,EPE,88012
21084,Los Ebanistas/Sol Luna Solar,10.6,PNM,87122
21085,"Solar Smart Living, LLC",10.4,EPE,88011
21086,"Solar Smart Living, LLC",10.7,EPE,88011
21087,Organ Mountain Solar & Electric,7.9,EPE,88011
21088,"Solar Smart Living, LLC",7.1,EPE,88001
21089,"Solar Smart Living, LLC",5.9,EPE,88021
21090,"Solar Smart Living, LLC",3.6,EPE,88063
21091,"Solar Smart Living, LLC",6.3,EPE,88011
21094,"POULIN DESIGN REMODELING, INC.",5.5,PNM,87123
21104,Affordable Solar Installation,5.5,PNM,87120
21105,"POULIN DESIGN REMODELING, INC.",5.1,PNM,87114
21106,NM Solar Group,11.9,PNM,87048
21107,Compass Electric Company,4.9,PNM,87107
21108,Sandia Mountain Solar,2.2,PNM,87110
21109,Organ Mountain Solar & Electric,5.2,EPE,88007
21110,Positive Energy Solar,11.4,PNM,87507
21111,Positive Energy Solar,13.6,PNM,87506
21112,Positive Energy Solar,5.6,LADPU,87544
21113,Positive Energy Solar,9.1,PNM,87508
21114,Organ Mountain Solar & Electric,3.9,SIEC,87935
21115,Solar Works Energy,4.2,PNM,87123
21116,Affordable Solar Installation,4.2,PNM,87505
21117,Positive Energy Solar,4.9,PNM,87048
21118,Positive Energy Solar,4.2,PNM,87106
21119,Positive Energy Solar,4.4,PNM,87107
21120,Positive Energy Solar,3.4,PNM,87108
21121,Positive Energy Solar,11.1,PNM,87114
21122,Organ Mountain Solar & Electric,5.0,EPE,88005
21127,Los Ebanistas/Sol Luna Solar,12.0,PNM,87508
21133,SunState Solar Inc./Energized,2.9,PNM,87120
21134,Solcius LLC,3.1,PNM,87114
21135,Compass Electric Company,6.2,PNM,87043
21136,NM Solar Group,10.4,PNM,88310
21138,Los Ebanistas/Sol Luna Solar,11.4,PNM,87505
21140,Solar Works Energy LLC,3.3,PNM,87106
21146,AmpUp Electric,13.3,PNM,87122
21148,NM Solar Group,10.1,PNM,87106
21149,PPC Solar,6.6,KCEC,87529
21150,Energy Concepts,2.6,PNM,87508
21156,Erus Energy,8.7,MSMEC,87715
21159,Energy Concepts,4.3,JMEC,87549
21162,"POULIN DESIGN REMODELING, INC.",7.7,LADPU,87547
21163,"POULIN DESIGN REMODELING, INC.",8.0,PNM,87048
21164,Compass Electric Company,5.3,PNM,87508
21165,"POULIN DESIGN REMODELING, INC.",4.8,PNM,87120
21172,Positive Energy Solar,10.0,PNM,87114
21173,Positive Energy Solar,3.9,PNM,87106
21174,"POULIN DESIGN REMODELING, INC.",10.1,PNM,87114
21175,Ion Solar,5.3,PNM,87123
21176,Affordable Solar Installations,9.6,PNM,87047
21177,Affordable Solar Installations,7.2,PNM,87042
21178,Affordable Solar Installations,7.2,PNM,87108
21179,Affordable Solar Installation,9.0,PNM,87505
21180,Affordable Solar Installation,6.3,PNM,87501
21181,Affordable Solar Installation,8.4,PNM,87124
21182,Affordable Solar Installation,13.7,PNM,87105
21183,Affordable Solar Installation,11.4,PNM,87107
21184,Affordable Solar Installation,3.6,PNM,87102
21185,Affordable Solar Installation,8.7,PNM,87120
21186,Affordable Solar Installation,5.7,PNM,87123
21187,Affordable Solar Installation,4.8,PNM,87120
21188,Affordable Solar Installation,9.4,PNM,87120
21189,Affordable Solar Installation,9.0,PNM,87114
21190,Affordable Solar Installation,7.0,PNM,87110
21191,Affordable Solar Installation,7.8,PNM,87114
21192,Affordable Solar Installation,5.4,PNM,87120
21193,"POULIN DESIGN REMODELING, INC.",12.2,PNM,87048
21194,Affordable Solar Installation,9.0,PNM,87109
21195,Positive Energy Solar,3.5,PNM,87507
21196,Positive Energy Solar,3.2,PNM,87507
21197,Positive Energy Solar,4.2,PNM,87508
21198,Positive Energy Solar,3.5,PNM,87508
21199,Positive Energy Solar,7.7,PNM,87508
21200,Positive Energy Solar,4.9,PNM,87506
21201,Positive Energy Solar,9.2,PNM,87501
21202,Positive Energy Solar,5.6,PNM,87540
21203,Positive Energy Solar,11.6,PNM,87505
21204,Positive Energy Solar,4.9,PNM,87501
21205,"POULIN DESIGN REMODELING, INC.",5.1,PNM,87108
21206,"Solar Smart Living, LLC",8.3,EPE,88063
21207,AmpUp Electric,9.8,PNM,87107
21208,Solar Works Energy,13.2,PNM,87107
21209,"POULIN DESIGN REMODELING, INC.",5.1,PNM,87144
21210,Organ Mountain Solar & Electric,6.6,EPE,88012
21211,Organ Mountain Solar & Electric,5.3,EPE,88011
21212,Organ Mountain Solar & Electric,6.6,EPE,88012
21213,Energy Concepts Corporation,7.4,EPE,88005
21214,Organ Mountain Solar & Electric,7.9,EPE,88007
21215,,7.7,PNM,88030
21216,Organ Mountain Solar & Electric,4.9,EPE,88007
21241,SunState Solar Inc./Energized Electric,4.0,PNM,87110
21242,"POULIN DESIGN REMODELING, INC.",5.8,PNM,87106
21243,Morgan's Constructive Solutions,9.2,PNM,87122
21245,"POULIN DESIGN REMODELING, INC.",7.2,PNM,87110
21246,SunState Solar Inc./Energized Electric,5.9,PNM,87114
21247,Enchanted Solar Roofing,7.0,PNM,87144
21248,Organ Mountain Solar & Electric,7.9,EPE,88007
21249,Organ Mountain Solar & Electric,7.9,EPE,88007
21250,Affordable Solar Installation,11.4,PNM,87111
21251,Affordable Solar Installations,9.6,PNM,87109
21252,Affordable Solar Installation,12.3,PNM,87068
21253,Affordable Solar Installations,10.2,PNM,87112
21254,Energy Concepts Corporation,6.2,MSMEC,87722
21255,SunState Solar Inc./Energized Electric,4.0,PNM,87120
21256,Oceola Inc,5.0,PNM,87111
21257,"POULIN DESIGN REMODELING, INC.",9.1,PNM,87109
21258,Morgan's Constructive Solutions,7.0,PNM,87123
21259,"Solar Works Energy, LLC",5.8,PNM,87106
21260,Organ Mountain Solar & Electric,8.3,EPE,88005
